gpsTime,cameraLon,cameraLat
1250930569,10.82412556,55.30378553
1250930570,10.82408287,55.30380023
1250930570,10.82404023,55.30381491
1250930570,10.82399745,55.30382961
1250930570,10.82395725,55.30384348
1250930570,10.82391455,55.30385821
1250930570,10.82387175,55.30387298
1250930571,10.82382893,55.30388769
1250930571,10.82378606,55.30390241
1250930571,10.82374324,55.30391714
1250930571,10.82370035,55.30393191
1250930571,10.82366004,55.30394577
1250930571,10.82361713,55.30396051
1250930572,10.82357424,55.30397526
1250930572,10.82353131,55.30399002
1250930572,10.8234884,55.30400476
1250930572,10.82344801,55.30401864
1250930572,10.82340509,55.30403339
1250930573,10.82336217,55.30404814
1250930573,10.82331925,55.3040629
1250930573,10.82327634,55.30407765
1250930573,10.82323334,55.30409239
1250930573,10.82319048,55.30410711
1250930573,10.8231501,55.30412098
1250930574,10.82310723,55.30413571
1250930574,10.82306436,55.30415044
1250930574,10.82302148,55.30416517
1250930574,10.82297862,55.30417989
1250930574,10.82293574,55.30419463
1250930574,10.82289554,55.30420847
1250930575,10.82285273,55.30422318
1250930575,10.82280995,55.30423788
1250930575,10.82276722,55.30425257
1250930575,10.82272448,55.30426726
1250930575,10.82268176,55.30428189
1250930575,10.8226391,55.30429656
1250930576,10.82259647,55.30431123
1250930576,10.82255386,55.30432587
1250930576,10.82251127,55.30434049
1250930576,10.82246873,55.30435511
1250930576,10.82242626,55.30436974
1250930576,10.82238378,55.30438433
1250930577,10.82234136,55.30439891
1250930577,10.82229893,55.30441347
1250930577,10.8222566,55.30442805
1250930577,10.82221425,55.30444261
1250930577,10.82217194,55.30445712
1250930577,10.82212969,55.30447162
1250930578,10.82208735,55.30448618
1250930578,10.82204515,55.30450068
1250930578,10.82200304,55.30451515
1250930578,10.8219609,55.30452962
1250930578,10.82191877,55.30454411
1250930578,10.82187445,55.30455935
1250930579,10.82183243,55.3045738
1250930579,10.82179047,55.30458821
1250930579,10.82174861,55.30460255
1250930579,10.82170674,55.30461694
1250930579,10.82166248,55.30463217
1250930579,10.82162067,55.30464653
1250930580,10.82157887,55.30466086
1250930580,10.82153469,55.30467604
1250930580,10.82149296,55.30469035
1250930580,10.82145129,55.30470467
1250930580,10.82140967,55.30471895
1250930581,10.82136567,55.30473408
1250930581,10.82132408,55.30474836
1250930581,10.8212801,55.30476345
1250930581,10.82123862,55.3047777
1250930581,10.82119714,55.30479193
1250930581,10.82115331,55.30480696
1250930582,10.82111186,55.30482118
1250930582,10.82106804,55.3048362
1250930582,10.82102675,55.30485037
1250930582,10.82098543,55.30486456
1250930582,10.8209418,55.30487955
1250930582,10.82090057,55.3048937
1250930583,10.820857,55.30490869
1250930583,10.82081344,55.30492364
1250930583,10.82077225,55.3049378
1250930583,10.82072811,55.30495295
1250930583,10.82068773,55.30496681
1250930583,10.82064435,55.30498171
1250930584,10.82060033,55.30499683
1250930584,10.8205594,55.3050109
1250930584,10.82051612,55.30502576
1250930584,10.82047279,55.30504066
1250930584,10.82043202,55.30505466
1250930585,10.82038879,55.30506952
1250930585,10.82034558,55.30508438
1250930585,10.82030487,55.30509837
1250930585,10.82026173,55.3051132
1250930585,10.82021862,55.30512801
1250930585,10.82017788,55.30514199
1250930586,10.82013478,55.30515682
1250930586,10.82009171,55.30517163
1250930586,10.82004859,55.30518647
1250930586,10.82000795,55.30520042
1250930586,10.8199649,55.30521524
1250930586,10.81992188,55.30523008
1250930587,10.81987883,55.30524488
1250930587,10.81983815,55.30525885
1250930587,10.81979508,55.30527364
1250930587,10.819752,55.30528847
1250930587,10.81970894,55.30530333
1250930588,10.81966833,55.3053173
1250930588,10.81962525,55.30533212
1250930588,10.81958214,55.30534693
1250930588,10.81953897,55.30536171
1250930588,10.81949825,55.30537575
1250930588,10.81945516,55.30539058
1250930589,10.81941193,55.3054054
1250930589,10.81937118,55.30541944
1250930589,10.8193279,55.30543426
1250930589,10.81928462,55.30544911
1250930589,10.81924142,55.30546397
1250930590,10.8192005,55.30547803
1250930590,10.81915716,55.30549293
1250930590,10.8191138,55.30550785
1250930590,10.81907279,55.30552196
1250930590,10.81902931,55.30553693
1250930590,10.81898837,55.305551
1250930591,10.81894488,55.30556595
1250930591,10.81890376,55.30558009
1250930591,10.81886024,55.30559504
1250930591,10.81881671,55.30561
1250930591,10.81877552,55.30562416
1250930591,10.81873188,55.30563916
1250930592,10.81869063,55.30565335
1250930592,10.81864695,55.30566837
1250930592,10.81860563,55.30568256
1250930592,10.81856188,55.3056976
1250930592,10.81852052,55.30571181
1250930592,10.81847913,55.30572604
1250930593,10.81843527,55.30574112
1250930593,10.81839383,55.30575536
1250930593,10.81834992,55.30577044
1250930593,10.81830842,55.30578469
1250930593,10.81826691,55.30579897
1250930594,10.8182229,55.30581409
1250930594,10.81818133,55.30582837
1250930594,10.81813727,55.30584352
1250930594,10.81809568,55.30585782
1250930594,10.81805401,55.30587214
1250930594,10.8180099,55.30588731
1250930595,10.81796821,55.30590163
1250930595,10.81792651,55.305916
1250930595,10.81788477,55.30593036
1250930595,10.81784051,55.30594558
1250930595,10.81779874,55.30595997
1250930595,10.81775694,55.30597438
1250930596,10.81771434,55.30598906
1250930596,10.81767004,55.3060043
1250930596,10.81762819,55.30601874
1250930596,10.81758631,55.30603319
1250930596,10.8175444,55.30604767
1250930596,10.81750002,55.30606302
1250930597,10.81745814,55.30607752
1250930597,10.8174162,55.30609207
1250930597,10.81737426,55.30610664
1250930597,10.81733231,55.30612124
1250930597,10.81728787,55.30613672
1250930598,10.81724587,55.30615135
1250930598,10.81720385,55.30616602
1250930598,10.8171618,55.30618072
1250930598,10.81711978,55.30619543
1250930598,10.81707772,55.30621017
1250930598,10.81703566,55.30622492
1250930599,10.81699112,55.30624059
1250930599,10.81694904,55.30625541
1250930599,10.81690698,55.30627027
1250930599,10.81686492,55.30628516
1250930599,10.81682284,55.30630006
1250930599,10.81678073,55.306315
1250930600,10.8167387,55.30632999
1250930600,10.81669663,55.30634501
1250930600,10.81665456,55.30636002
1250930600,10.81661251,55.3063751
1250930600,10.81656803,55.30639112
1250930600,10.81652604,55.30640627
1250930601,10.81648404,55.30642144
1250930601,10.81644208,55.30643668
1250930601,10.8164001,55.30645193
1250930601,10.81635821,55.3064672
1250930601,10.81631634,55.30648251
1250930601,10.81627445,55.30649784
1250930602,10.81623018,55.30651416
1250930602,10.81618838,55.30652958
1250930602,10.81614665,55.30654503
1250930602,10.81610495,55.30656053
1250930602,10.81606331,55.30657606
1250930602,10.81602171,55.30659161
1250930603,10.81597768,55.30660813
1250930603,10.81593621,55.30662379
1250930603,10.81589476,55.30663945
1250930603,10.81585336,55.30665517
1250930603,10.81580961,55.30667186
1250930604,10.81576834,55.30668765
1250930604,10.81572713,55.30670348
1250930604,10.81568359,55.3067203
1250930604,10.81564253,55.30673625
1250930604,10.81560159,55.30675219
1250930604,10.81555825,55.30676916
1250930605,10.81551748,55.3067852
1250930605,10.81547432,55.30680222
1250930605,10.81543371,55.3068183
1250930605,10.81539072,55.30683542
1250930605,10.81535018,55.3068516
1250930605,10.81530739,55.30686881
1250930606,10.81526706,55.30688509
1250930606,10.81522438,55.30690238
1250930606,10.81518424,55.30691875
1250930606,10.81514181,55.30693613
1250930606,10.81509949,55.30695357
1250930606,10.81505725,55.30697103
1250930607,10.81501745,55.30698757
1250930607,10.81497543,55.30700514
1250930607,10.81493347,55.30702276
1250930607,10.81489161,55.30704036
1250930607,10.81484987,55.30705798
1250930608,10.81481056,55.30707472
1250930608,10.81476906,55.30709245
1250930608,10.8147275,55.30711021
1250930608,10.81468611,55.30712799
1250930608,10.81464486,55.30714584
1250930608,10.81460374,55.30716375
1250930609,10.81456266,55.30718165
1250930609,10.81451939,55.30720062
1250930609,10.81447863,55.30721864
1250930609,10.81443788,55.3072367
1250930609,10.81439726,55.30725479
1250930610,10.81435671,55.30727291
1250930610,10.81431297,55.30729248
1250930610,10.81427277,55.3073106
1250930610,10.81423259,55.30732873
1250930610,10.81419025,55.307348
1250930610,10.81415015,55.30736628
1250930611,10.81411017,55.30738456
1250930611,10.81406819,55.30740398
1250930611,10.81402841,55.30742243
1250930611,10.81398663,55.3074418
1250930611,10.81394492,55.30746128
1250930612,10.81390557,55.30747979
1250930612,10.81386402,55.30749936
1250930612,10.81382259,55.30751897
1250930612,10.81378351,55.3075376
1250930612,10.81374227,55.30755726
1250930613,10.81370121,55.30757706
1250930613,10.81366022,55.30759687
1250930613,10.81362133,55.30761561
1250930613,10.81358049,55.30763544
1250930613,10.81353979,55.30765538
1250930613,10.8134992,55.30767542
1250930614,10.8134586,55.30769543
1250930614,10.81341807,55.30771548
1250930614,10.81337977,55.30773454
1250930614,10.81333927,55.30775486
1250930614,10.81329919,55.30777498
1250930615,10.81325899,55.30779527
1250930615,10.81321886,55.30781562
1250930615,10.81317651,55.3078372
1250930615,10.81313675,55.30785754
1250930615,10.81309687,55.30787806
1250930616,10.81305703,55.30789863
1250930616,10.81301725,55.30791925
1250930616,10.81297756,55.30793997
1250930616,10.8129379,55.30796071
1250930616,10.81289833,55.30798153
1250930616,10.81285886,55.30800238
1250930617,10.81281946,55.3080233
1250930617,10.81278002,55.3080443
1250930617,10.81273872,55.30806645
1250930617,10.81269942,55.30808758
1250930617,10.81266033,55.30810872
1250930618,10.81262123,55.30812998
1250930618,10.81258014,55.30815239
1250930618,10.81254122,55.30817373
1250930618,10.81250235,55.30819513
1250930618,10.8124636,55.30821661
1250930619,10.8124226,55.30823937
1250930619,10.81238418,55.30826085
1250930619,10.81234559,55.30828249
1250930619,10.81230493,55.30830542
1250930619,10.81226667,55.30832702
1250930620,10.81222829,55.3083488
1250930620,10.81218782,55.30837191
1250930620,10.81214977,55.30839369
1250930620,10.81211163,55.30841562
1250930620,10.81207132,55.30843892
1250930621,10.81203352,55.30846084
1250930621,10.81199355,55.3084841
1250930621,10.8119557,55.30850622
1250930621,10.81191568,55.30852966
1250930621,10.81187817,55.30855178
1250930622,10.81183818,55.30857538
1250930622,10.81180039,55.30859773
1250930622,10.8117603,55.3086216
1250930622,10.81172081,55.30864517
1250930622,10.81168365,55.30866735
1250930623,10.81164432,55.30869093
1250930623,10.81160486,55.30871466
1250930623,10.81156785,55.30873698
1250930623,10.81152848,55.30876077
1250930623,10.81148926,55.30878449
1250930623,10.8114525,55.30880685
1250930624,10.81141292,55.30883098
1250930624,10.81137393,55.30885476
1250930624,10.81133722,55.30887712
1250930624,10.81129847,55.3089008
1250930624,10.81125957,55.30892467
1250930625,10.81122109,55.3089483
1250930625,10.8111844,55.30897086
1250930625,10.81114574,55.30899465
1250930625,10.8111065,55.30901881
1250930625,10.81106838,55.30904234
1250930626,10.81102987,55.30906616
1250930626,10.81099348,55.30908865
1250930626,10.81095483,55.30911265
1250930626,10.81091623,55.30913667
1250930626,10.81087819,55.30916018
1250930627,10.81083983,55.30918405
1250930627,10.81080137,55.3092081
1250930627,10.8107628,55.30923206
1250930627,10.81072681,55.30925446
1250930627,10.81068836,55.30927846
1250930628,10.8106503,55.30930223
1250930628,10.81061205,55.30932608
1250930628,10.81057368,55.30935007
1250930628,10.81053547,55.30937398
1250930628,10.81049734,55.30939783
1250930629,10.81045911,55.30942165
1250930629,10.81042082,55.30944544
1250930629,10.81038271,55.30946933
1250930629,10.81034481,55.30949312
1250930629,10.81030657,55.3095171
1250930630,10.81027061,55.30953962
1250930630,10.81023236,55.30956364
1250930630,10.81019445,55.30958757
1250930630,10.8101565,55.30961147
1250930630,10.81011868,55.30963522
1250930631,10.81008041,55.30965916
1250930631,10.81004256,55.30968289
1250930631,10.81000462,55.30970681
1250930631,10.80996663,55.30973067
1250930631,10.80992847,55.30975465
1250930632,10.80989056,55.30977856
1250930632,10.8098526,55.30980242
1250930632,10.80981445,55.30982625
1250930632,10.80977684,55.30985007
1250930632,10.80973876,55.3098741
1250930633,10.80970075,55.30989798
1250930633,10.80966272,55.30992182
1250930633,10.8096247,55.30994571
1250930633,10.80958693,55.3099695
1250930633,10.80954881,55.30999349
1250930634,10.80951075,55.31001739
1250930634,10.80947271,55.3100413
1250930634,10.80943486,55.31006512
1250930634,10.8093967,55.31008906
1250930634,10.80935844,55.31011311
1250930635,10.80932042,55.31013701
1250930635,10.80928246,55.31016089
1250930635,10.80924414,55.31018499
1250930635,10.80920812,55.31020764
1250930635,10.80916991,55.31023173
1250930636,10.80913153,55.31025575
1250930636,10.80909332,55.31027974
1250930636,10.80905524,55.31030378
1250930636,10.80901702,55.31032782
1250930636,10.80897894,55.31035174
1250930637,10.80894049,55.31037591
1250930637,10.80890431,55.31039865
1250930637,10.80886581,55.31042286
1250930637,10.80882731,55.31044707
1250930637,10.80878915,55.31047106
1250930638,10.80875078,55.31049515
1250930638,10.80871328,55.31051872
1250930638,10.8086754,55.31054253
1250930638,10.80863694,55.31056668
1250930638,10.80859872,55.31059075
1250930639,10.80856012,55.31061502
1250930639,10.80852373,55.31063784
1250930639,10.80848525,55.31066204
1250930639,10.80844652,55.31068634
1250930639,10.80840748,55.31071086
1250930640,10.80837155,55.31073346
1250930640,10.80833281,55.31075777
1250930640,10.80829419,55.31078199
1250930640,10.80825774,55.31080493
1250930640,10.80821891,55.31082933
1250930641,10.80818046,55.31085349
1250930641,10.80814371,55.31087655
1250930641,10.8081048,55.31090099
1250930641,10.80806611,55.31092531
1250930641,10.80802952,55.31094829
1250930642,10.80799059,55.31097276
1250930642,10.80795203,55.31099699
1250930642,10.80791519,55.31102013
1250930642,10.80787618,55.31104463
1250930642,10.80783951,55.31106768
1250930643,10.80780048,55.31109221
1250930643,10.80776375,55.3111153
1250930643,10.80772491,55.3111397
1250930643,10.80768582,55.31116425
1250930643,10.80764907,55.31118736
1250930644,10.80761002,55.31121188
1250930644,10.80757303,55.31123511
1250930644,10.80753378,55.31125979
1250930644,10.8074968,55.311283
1250930644,10.80745779,55.3113075
1250930644,10.80742098,55.31133063
1250930645,10.80738176,55.31135528
1250930645,10.80734489,55.31137846
1250930645,10.80730563,55.31140315
1250930645,10.80726865,55.31142634
1250930645,10.80723158,55.31144965
1250930646,10.80719227,55.31147435
1250930646,10.8071553,55.31149761
1250930646,10.80711594,55.31152232
1250930646,10.80707893,55.31154557
1250930646,10.80703961,55.31157028
1250930647,10.80700251,55.31159358
1250930647,10.80696526,55.31161698
1250930647,10.80692584,55.31164177
1250930647,10.80688875,55.31166509
1250930647,10.80685037,55.31168915
1250930648,10.80681189,55.31171332
1250930648,10.80677477,55.31173666
1250930648,10.80673745,55.31176013
1250930648,10.80669804,55.31178483
1250930648,10.80666068,55.31180837
1250930649,10.80662327,55.31183185
1250930649,10.8065836,55.31185675
1250930649,10.80654641,55.31188014
1250930649,10.80650899,55.31190365
1250930649,10.80646937,55.31192852
1250930650,10.80643214,55.3119519
1250930650,10.80639468,55.31197545
1250930650,10.80635636,55.31199953
1250930650,10.80631715,55.31202418
1250930650,10.8062797,55.31204768
1250930650,10.80624224,55.31207122
1250930651,10.80620479,55.31209476
1250930651,10.80616516,55.31211964
1250930651,10.80612792,55.31214302
1250930651,10.80609047,55.31216653
1250930651,10.80605087,55.31219141
1250930652,10.80601362,55.31221481
1250930652,10.80597627,55.31223825
1250930652,10.80593673,55.3122631
1250930652,10.80589956,55.31228646
1250930652,10.80586219,55.3123099
1250930653,10.80582271,55.31233473
1250930653,10.80578556,55.31235803
1250930653,10.80574818,55.31238147
1250930653,10.80570893,55.31240608
1250930653,10.80567171,55.31242948
1250930654,10.80563443,55.31245283
1250930654,10.80559509,55.31247757
1250930654,10.80555815,55.31250081
1250930654,10.80551883,55.31252549
1250930654,10.80548191,55.31254865
1250930655,10.80544279,55.31257316
1250930655,10.80540576,55.31259643
1250930655,10.8053666,55.31262101
1250930655,10.80532983,55.31264407
1250930655,10.8052909,55.31266847
1250930656,10.80525396,55.31269162
1250930656,10.80521494,55.31271608
1250930656,10.80517615,55.31274041
1250930656,10.80513954,55.31276337
1250930656,10.80510083,55.31278765
1250930657,10.80506198,55.31281203
1250930657,10.80502553,55.31283491
1250930657,10.80498696,55.31285912
1250930657,10.80494823,55.31288341
1250930657,10.80490975,55.31290759
1250930658,10.80487342,55.31293039
1250930658,10.80483481,55.31295463
1250930658,10.80479642,55.31297874
1250930658,10.80475826,55.31300268
1250930658,10.80471979,55.31302686
1250930658,10.80468361,55.31304955
1250930659,10.80464539,55.31307357
1250930659,10.80460716,55.31309755
1250930659,10.80456884,55.31312163
1250930659,10.80453056,55.31314567
1250930659,10.80449285,55.31316934
1250930660,10.80445462,55.31319337
1250930660,10.80441663,55.31321725
1250930660,10.80437863,55.31324113
1250930660,10.80434044,55.31326512
1250930660,10.80430295,55.31328869
1250930661,10.80426485,55.31331261
1250930661,10.80422703,55.3133364
1250930661,10.80418913,55.31336021
1250930661,10.8041511,55.31338413
1250930662,10.80411185,55.31340882
1250930662,10.80407385,55.31343267
1250930662,10.80403608,55.31345641
1250930662,10.80399855,55.31348004
1250930662,10.80396059,55.31350388
1250930663,10.80392302,55.31352746
1250930663,10.80388509,55.3135513
1250930663,10.80384551,55.31357618
1250930663,10.80380781,55.31359989
1250930663,10.80377003,55.31362362
1250930664,10.80373247,55.31364719
1250930664,10.80369459,55.31367104
1250930664,10.80365621,55.31369513
1250930664,10.80361849,55.31371887
1250930664,10.80357885,55.31374374
1250930665,10.80354109,55.31376747
1250930665,10.80350332,55.31379122
1250930665,10.80346557,55.31381498
1250930665,10.80342791,55.31383862
1250930665,10.80338991,55.3138625
1250930666,10.80335208,55.3138863
1250930666,10.80331418,55.31391009
1250930666,10.8032763,55.31393389
1250930666,10.80323857,55.3139576
1250930666,10.80320044,55.31398157
1250930667,10.8031608,55.31400651
1250930667,10.80312284,55.31403039
1250930667,10.80308469,55.31405439
1250930667,10.80304668,55.31407831
1250930667,10.80300866,55.31410219
1250930668,10.80297084,55.31412599
1250930668,10.8029326,55.31415005
1250930668,10.80289451,55.31417401
1250930668,10.80285854,55.31419662
